"endemic_status","question","n"
"Endemic","More cases of human cruelty towards dogs",10
"In-progress","More cases of human cruelty towards dogs",1
"Endemic","More attacks on humans",9
"In-progress","More attacks on humans",1
"Endemic","More animal rabies cases",7
"In-progress","More animal rabies cases",2
"Endemic","More attacks on other animals",7
"In-progress","More attacks on other animals",1
"Endemic","More cases of human care towards dogs",5
"In-progress","More cases of human care towards dogs",2
"Endemic","More attacks on dogs",3
"In-progress","More attacks on dogs",1
"Endemic","More human rabies exposures/deaths",3
"In-progress","More human rabies exposures/deaths",1
